,City,Country,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Date
0,Tasiilaq,GL,65.6145,-37.6368,41.0,60,75,7.56,1619484085
1,Narsaq,GL,60.9167,-46.05,37.4,87,75,1.14,1619484086
2,Cidreira,BR,-30.1811,-50.2056,62.74,76,0,9.8,1619484086
3,Saskylakh,RU,71.9167,114.0833,9.36,91,34,4.54,1619484086
4,Nīlokheri,IN,29.8333,76.9167,79.68,16,0,2.26,1619484086
5,Itarema,BR,-2.9248,-39.9167,78.57,80,97,9.51,1619484086
6,Ushuaia,AR,-54.8,-68.3,42.8,87,75,8.05,1619484004
7,Whitehorse,CA,60.7161,-135.0538,59.0,23,40,18.41,1619484087
8,Busselton,AU,-33.65,115.3333,70.63,67,27,3.27,1619484087
9,São Filipe,CV,14.8961,-24.4956,72.21,75,95,7.87,1619484087
10,Raudeberg,NO,61.9875,5.1352,37.0,77,100,6.51,1619484087
11,Cape Town,ZA,-33.9258,18.4232,63.0,88,90,13.8,1619483951
12,Waycross,US,31.2136,-82.354,73.4,53,1,6.91,1619484087
13,Alofi,NU,-19.0595,-169.9187,86.0,70,83,10.36,1619484088
14,Rikitea,PF,-23.1203,-134.9692,78.1,72,100,7.29,1619484088
15,Barrow,US,71.2906,-156.7887,21.2,79,1,21.85,1619484088
16,Kumul,CN,42.8,93.45,51.78,13,48,7.67,1619484088
17,Albany,US,42.6001,-73.9662,46.99,38,4,1.99,1619484088
18,Lima,PE,-12.0432,-77.0282,64.4,82,20,10.36,1619484006
19,Severo-Kuril'sk,RU,50.6789,156.125,31.82,98,100,18.63,1619484089
20,Waitati,NZ,-45.75,170.5667,44.01,86,98,11.99,1619484089
21,Butaritari,KI,3.0707,172.7902,82.69,76,82,10.69,1619484089
22,Castro,BR,-24.7911,-50.0119,57.31,89,1,3.09,1619484089
23,Ostrovnoy,RU,68.0531,39.5131,29.41,71,100,14.29,1619484090
24,Hobart,AU,-42.8794,147.3294,63.0,62,20,8.05,1619484090
25,Bambous Virieux,MU,-20.3428,57.7575,77.0,94,75,8.05,1619484090
26,Banepā,NP,27.6298,85.5214,60.8,67,20,2.3,1619484090
27,Ambilobe,MG,-13.2,49.05,70.57,94,10,3.6,1619484090
28,Coruripe,BR,-10.1256,-36.1756,77.13,84,4,5.3,1619484091
29,Iquitos,PE,-3.7481,-73.2472,73.94,97,95,2.73,1619484091
30,Sarangani,PH,5.4033,125.4636,82.38,70,100,3.6,1619484091
31,Seoul,KR,37.5683,126.9778,59.0,55,0,4.61,1619484005
32,Torbay,CA,47.6666,-52.7314,42.01,87,90,19.57,1619484091
33,Mrakovo,RU,52.7161,56.6244,37.8,71,100,5.21,1619484091
34,Bluff,NZ,-46.6,168.3333,48.0,69,69,11.01,1619484091
35,Mar del Plata,AR,-38.0023,-57.5575,53.01,93,0,2.89,1619484038
36,Nelson Bay,AU,-32.7167,152.15,69.01,77,20,9.22,1619484092
37,Fredericton,CA,45.9454,-66.6656,39.2,93,90,10.36,1619483848
38,Hithadhoo,MV,-0.6,73.0833,82.42,61,6,3.15,1619484092
39,Lorengau,PG,-2.0226,147.2712,85.64,66,32,2.66,1619484092
40,Ponta do Sol,PT,32.6667,-17.1,59.0,80,59,1.99,1619484092
41,Faya,SA,18.3851,42.4509,59.0,82,0,3.15,1619484092
42,Dauriya,RU,49.9333,116.8667,35.78,58,87,26.64,1619484093
43,Mataura,NZ,-46.1927,168.8643,48.0,69,67,11.01,1619484098
44,Mindelo,CV,16.8901,-24.9804,69.8,73,75,16.11,1619484098
45,Olafsvik,IS,64.8945,-23.7142,42.69,62,0,6.58,1619484098
46,Sandnessjøen,NO,66.0217,12.6316,33.8,86,17,5.75,1619484099
47,Leh,IN,34.1667,77.5833,32.14,36,0,3.15,1619484099
48,Puerto Ayora,EC,-0.7393,-90.3518,75.27,89,36,6.22,1619484099
49,Smidovich,RU,48.6,133.8167,57.18,35,46,9.86,1619484100
50,Sinnamary,GF,5.3833,-52.95,77.27,89,100,11.21,1619484100
51,Hilo,US,19.7297,-155.09,78.8,65,90,8.05,1619484100
52,Upernavik,GL,72.7868,-56.1549,33.69,77,100,4.83,1619484100
53,Lüderitz,NA,-26.6481,15.1594,59.76,84,21,8.19,1619484100
54,Tupik,RU,54.4253,119.9327,37.44,83,100,8.86,1619484100
55,Talnakh,RU,69.4865,88.3972,14.65,78,57,10.04,1619484101
56,Krutinka,RU,56.0055,71.5113,39.61,68,0,10.27,1619484101
57,Pisco,PE,-13.7,-76.2167,64.0,92,3,8.99,1619484101
58,Mahébourg,MU,-20.4081,57.7,75.2,94,75,8.05,1619484101
59,Bredasdorp,ZA,-34.5322,20.0403,55.4,94,96,1.14,1619484101
60,Punta Arenas,CL,-53.15,-70.9167,44.6,93,75,2.3,1619484101
61,Klaksvík,FO,62.2266,-6.589,39.2,81,40,19.57,1619484102
62,Tessalit,ML,20.1986,1.0114,87.46,9,50,7.72,1619484102
63,Kushmurun,KZ,52.4503,64.6311,47.59,93,100,6.31,1619484102
64,Nuevitas,CU,21.5453,-77.2644,80.6,69,0,10.36,1619484102
